중앙동:2730.361468849762,5509.0,5973.89526627661,25,1642.310053788602
동광동:3098.727610588132,841.0,3687.832732355455,5,1720.0956062279581
대청동:6488.369945789687,501.0,5312.156844085315,4,3534.320690293809
보수동:10777.85392392741,456.0,5747.936901035719,4,5796.653114402237
부평동:4824.404822507553,923.0,4855.975190144498,11,2830.3928784539457
광복동:1069.156620038193,1066.0,4800.066571006086,3,544.2361322734469
남포동:1244.6228798937227,3457.0,5888.190538501134,20,704.2587443623855
영주1동:5211.766901932337,583.0,4574.254960855935,6,2983.869046900272
영주2동:7531.933141407033,458.0,3589.9731084066443,4,4154.029344612907
동대신1동:4371.723891457077,413.0,5345.663531667553,2,2321.071285294682
동대신2동:7570.597135479795,501.0,5931.883891066536,7,3934.5257495898104
동대신3동:7001.639004292985,1243.0,5109.28623153409,7,3820.0757555964324
서대신1동:12648.938970241928,1611.0,4695.141498702578,7,6780.168619756308
서대신3동:8846.702694754902,1073.0,5481.301220047055,9,4829.423015721419
서대신4동:8238.787410720426,1144.0,4937.355203973129,3,4273.7720509416595
부민동:8447.255233092365,716.0,4508.538768652012,10,4789.4709057409345
아미동:6976.311095973477,673.0,4967.772428867407,4,3507.2370183348576
초장동:4595.699968187371,280.0,4961.282127536833,1,2339.7107153670613
충무동:11005.517677540076,1934.0,4389.308349999657,16,6046.62551502333
남부민1동:5100.575560405327,1245.0,6872.960499022156,1,2694.132976045392
남부민2동:9659.081253013455,1255.0,3336.7745403451845,2,4982.059377565347
암남동:13594.192830915095,3014.0,6498.819491015078,19,7298.613036828476
초량1동:5756.622732660442,1460.0,8387.025873028906,7,3843.649978543035
초량2동:6106.72409404401,1736.0,6038.609689003322,9,3572.0699489214567
초량3동:10234.461449125316,4587.0,5359.29968848289,22,5611.000222919698
초량6동:6314.183398330351,562.0,4119.571503981366,5,3287.1736490264057
수정1동:4144.808739482658,292.0,5557.6298744268715,4,2176.334140937562
수정2동:9742.921575060376,1331.0,3925.938923295471,10,5156.160217161119
수정4동:4174.365250555624,205.0,3589.9731084066443,0,2144.693333684358
수정5동:5599.491302807408,180.0,4210.360333970515,3,2943.69667462297
좌천동:11181.251968475,1163.0,4048.138993182336,8,5861.419804989344
범일1동:14476.599119783146,981.0,6039.6805201370735,6,7411.008167927354
범일2동:8983.930412750517,5224.0,7259.3622298387345,12,4571.999520465057
범일5동:4815.35827570073,922.0,7667.796227593441,0,2458.0107347280123
남항동:11366.93507885427,1914.0,5573.728095284081,9,6007.858177499749
영선1동:4176.645371245366,464.0,5898.404964945046,6,2227.694671230269
영선2동:8826.49917041586,1095.0,3436.704021471669,9,4627.265519264715
신선동:8902.277274824795,338.0,3589.9731084066443,1,4503.744908697746
봉래1동:7475.6711888477585,752.0,4459.911912745563,4,3916.5602463754276
봉래2동:4578.718039862113,963.0,5524.27314632386,1,2329.41872428685
청학1동:6759.177781070583,1106.0,6577.784949034598,8,3524.020034156403
청학2동:18501.80664006516,1877.0,5289.72441506898,8,9490.357382210923
동삼1동:29263.024031391837,2399.0,4507.896901928121,17,15464.745812833997
동삼2동:3729.553025633592,1003.0,3542.26675984927,6,1969.6148617141025
동삼3동:10339.335648602108,756.0,5557.6298744268715,1,5394.054161236165
부전1동:15060.261483403388,7573.0,6597.82523809874,28,7666.061854738935
부전2동:10183.809409681824,11079.0,6610.11076332815,40,5284.4788053867505
연지동:20014.314882413484,1554.0,5069.2852427084,6,10667.942159709666
초읍동:20888.638466306613,2103.0,6392.34388080542,15,10885.202792645083
양정1동:20341.8350141492,3976.0,5784.969621495577,18,10829.095056373415
양정2동:12945.884549211012,2230.0,5806.1513051751535,24,7145.814701822943
전포1동:18655.219307617477,4558.0,8929.153595087118,37,9955.931189299103
전포2동:21680.133668104623,2924.0,7514.5890500582755,18,11687.89755134259
부암1동:23529.018367532204,3047.0,6974.041991628357,15,12168.750651407125
부암3동:17064.91074483702,1267.0,2456.229169609025,9,8705.89607373561
당감1동:23939.3674044325,3381.0,4584.63524233643,9,12682.91159276302
당감2동:10154.973172397396,1603.0,8615.373277919833,6,5350.739311634522
당감4동:11810.165220240711,1567.0,5760.388236693805,4,6103.205586870648
가야1동:20459.792718503857,5388.0,3279.8785975034116,23,10941.588260052784
가야2동:16713.47545691603,2246.0,6284.278744712006,7,8736.566777207001
개금1동:18048.95790202217,3175.0,4746.704683166812,15,9620.359336315048
개금2동:11348.910423263207,827.0,4083.2880530543625,7,5928.43886118736
개금3동:29450.97117545665,2943.0,6471.068712222157,9,15317.585728621792
범천1동:12090.22916263272,3682.0,7302.167356861988,19,6487.20746844604
범천2동:22802.645334789995,2929.0,9235.895429842174,11,11867.388616204133
수민동:32305.38768074503,4913.0,4639.086444168584,27,16679.190853641896
복산동:10154.477583985776,744.0,6627.686527437996,2,5259.904178558918
명륜동:26162.782333241543,2902.0,6187.030400808901,14,13535.771014319922
온천1동:19067.00951751042,3926.0,7006.823379404377,31,10288.66288071203
온천2동:13951.53958727792,3270.0,4265.215296313167,12,7300.797197897666
온천3동:38727.46343965759,3931.0,5536.37419239711,27,20007.44830619082
사직1동:10912.251249186813,1590.0,4196.667033449048,18,5761.2650493944175
사직2동:29351.546009469377,3553.0,3889.758265614859,12,15244.8168054292
사직3동:17699.8956002763,1384.0,5242.786465729387,12,9033.646780338155
안락1동:14875.34954590362,2550.0,3774.0890686453786,18,7660.165707105923
안락2동:28424.829093832523,3887.0,4685.495936893625,17,14684.797553411892
명장1동:13410.5106818669,1269.0,4990.951703679515,6,6926.0771717085645
